name,id,height,base_experience,pokemon_species_id,weight,hp,attack,defense,special-attack,special-defense,speed,evolution_chain_id,evolves_from_species_id,gender_rate,has_gender_differences,is_baby,is_legendary,is_mythical,capture_rate,base_happiness,hatch_counter,growth_rate,generation_name,habitat_name,type_name_1,type_name_2
bulbasaur,1,7,64,1,69,45,49,49,65,65,45,1,,1,False,False,False,False,45,50,20,medium-slow,generation-i,grassland,grass,poison
ivysaur,2,10,142,2,130,60,62,63,80,80,60,1,1,1,False,False,False,False,45,50,20,medium-slow,generation-i,grassland,grass,poison
venusaur,3,20,263,3,1000,80,82,83,100,100,80,1,2,1,True,False,False,False,45,50,20,medium-slow,generation-i,grassland,grass,poison
charmander,4,6,62,4,85,39,52,43,60,50,65,2,,1,False,False,False,False,45,50,20,medium-slow,generation-i,mountain,fire,
charmeleon,5,11,142,5,190,58,64,58,80,65,80,2,4,1,False,False,False,False,45,50,20,medium-slow,generation-i,mountain,fire,
charizard,6,17,267,6,905,78,84,78,109,85,100,2,5,1,False,False,False,False,45,50,20,medium-slow,generation-i,mountain,fire,flying
squirtle,7,5,63,7,90,44,48,65,50,64,43,3,,1,False,False,False,False,45,50,20,medium-slow,generation-i,waters-edge,water,
wartortle,8,10,142,8,225,59,63,80,65,80,58,3,7,1,False,False,False,False,45,50,20,medium-slow,generation-i,waters-edge,water,
blastoise,9,16,265,9,855,79,83,100,85,105,78,3,8,1,False,False,False,False,45,50,20,medium-slow,generation-i,waters-edge,water,
caterpie,10,3,39,10,29,45,30,35,20,20,45,4,,4,False,False,False,False,255,50,15,medium,generation-i,forest,bug,
metapod,11,7,72,11,99,50,20,55,25,25,30,4,10,4,False,False,False,False,120,50,15,medium,generation-i,forest,bug,
butterfree,12,11,198,12,320,60,45,50,90,80,70,4,11,4,True,False,False,False,45,50,15,medium,generation-i,forest,bug,flying
weedle,13,3,39,13,32,40,35,30,20,20,50,5,,4,False,False,False,False,255,70,15,medium,generation-i,forest,bug,poison
